	benchmark	hardware_vendor	system	cores	chips	cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
0	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6126	24	2	12	2600	48	1360	1290	Oct-2017	6483
1	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6130	32	2	16	2100	64	1540	1450	Oct-2017	6483
2	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6134	16	2	8	3200	32	1060	1000	Oct-2017	6483
3	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6136	24	2	12	3000	48	1480	1410	Oct-2017	6483
4	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6138	40	2	20	2000	80	1790	1700	Oct-2017	6483
5	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6140	36	2	18	2300	72	1780	1690	Oct-2017	6483
6	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6148	40	2	20	2400	80	1950	1850	Oct-2017	6483
7	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6150	36	2	18	2700	72	1940	1850	Oct-2017	6483
8	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6152	44	2	22	2100	88	2020	1920	Oct-2017	6483
9	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6126	24	2	12	2600	48	1360	1290	Oct-2017	6483
10	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6130	32	2	16	2100	64	1540	1450	Oct-2017	6483
11	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6134	16	2	8	3200	32	1060	1000	Oct-2017	6483
12	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6136	24	2	12	3000	48	1480	1410	Oct-2017	6483
13	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6138	40	2	20	2000	80	1790	1700	Oct-2017	6483
14	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6140	36	2	18	2300	72	1780	1690	Oct-2017	6483
15	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6148	40	2	20	2400	80	1950	1850	Oct-2017	6483
16	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6150	36	2	18	2700	72	1940	1850	Oct-2017	6483
17	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6152	44	2	22	2100	88	2020	1920	Oct-2017	6483
18	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6126	24	2	12	2600	48	1360	1290	Oct-2017	6483
19	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6130	32	2	16	2100	64	1500	1420	Oct-2017	6483
20	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6134	16	2	8	3200	32	1060	1000	Oct-2017	6483
21	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6136	24	2	12	3000	48	1480	1410	Oct-2017	6483
22	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6138	36	2	18	2300	72	1740	1660	Oct-2017	6483
23	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6138	40	2	20	2000	80	1790	1700	Oct-2017	6483
24	CINT2006rate	Acer Incorporated	Intel Xeon Gold 6138	40	2	20	2400	80	1930	1840	Oct-2017	6483
25	CINT2006rate	Cisco Systems	Intel Xeon Gold 5118	24	2	12	2300	48	0	1200	Oct-2017	6483
26	CINT2006rate	Cisco Systems	Intel Xeon Gold 5120	28	2	14	2200	56	1430	1350	Oct-2017	6483
27	CINT2006rate	Cisco Systems	Intel Xeon Gold 6138	40	2	20	2000	80	1860	1770	Oct-2017	6483
28	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140	36	2	18	2300	72	1840	1740	Oct-2017	6483
29	CINT2006rate	Cisco Systems	Intel Xeon Gold 6144	16	2	8	3500	32	1160	1100	Oct-2017	6483
30	CINT2006rate	Cisco Systems	Intel Xeon Gold 6146	24	2	12	3200	48	1590	1510	Oct-2017	6483
31	CINT2006rate	Cisco Systems	Intel Xeon Gold 6148	40	2	20	2400	80	1990	1900	Oct-2017	6483
32	CINT2006rate	Cisco Systems	Intel Xeon Gold 6150	36	2	18	2700	72	2020	1930	Oct-2017	6483
33	CINT2006rate	Cisco Systems	Intel Xeon Gold 6152	44	2	22	2100	88	2030	1930	Sep-2017	6453
34	CINT2006rate	Cisco Systems	Intel Xeon Gold 6154	36	2	18	3000	72	2190	2100	Oct-2017	6483
35	CINT2006rate	Cisco Systems	Intel Xeon Gold 5115	20	2	10	2400	40	1020	966	Sep-2017	6453
36	CINT2006rate	Cisco Systems	Intel Xeon Gold 5118	24	2	12	2300	48	1190	1120	Sep-2017	6453
37	CINT2006rate	Cisco Systems	Intel Xeon Gold 5120	28	2	14	2200	56	1330	1260	Sep-2017	6453
38	CINT2006rate	Cisco Systems	Intel Xeon Gold 5122	8	2	4	3600	16	585	551	Sep-2017	6453
39	CINT2006rate	Cisco Systems	Intel Xeon Gold 6126	24	2	12	2600	48	1430	1350	Sep-2017	6453
40	CINT2006rate	Cisco Systems	Intel Xeon Gold 6128	12	2	6	3400	24	866	819	Sep-2017	6453
41	CINT2006rate	Cisco Systems	Intel Xeon Gold 6130	32	2	16	2100	64	1620	1530	Aug-2017	6422
42	CINT2006rate	Cisco Systems	Intel Xeon Gold 6132	28	2	14	2600	56	1620	1530	Sep-2017	6453
43	CINT2006rate	Cisco Systems	Intel Xeon Gold 6134	16	2	8	3200	32	1120	1060	Sep-2017	6453
44	CINT2006rate	Cisco Systems	Intel Xeon Gold 6136	24	2	12	3000	48	1570	1480	Sep-2017	6453
45	CINT2006rate	Cisco Systems	Intel Xeon Gold 6138	40	2	20	2000	80	1900	1800	Aug-2017	6422
46	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140	36	2	18	2300	72	1880	1780	Aug-2017	6422
47	CINT2006rate	Cisco Systems	Intel Xeon Gold 6142	32	2	16	2600	64	1790	1700	Sep-2017	6453
48	CINT2006rate	Cisco Systems	Intel Xeon Gold 6144	16	2	8	3500	32	1180	1110	Sep-2017	6453
49	CINT2006rate	Cisco Systems	Intel Xeon Gold 6146	24	2	12	3200	48	1610	1520	Sep-2017	6453
50	CINT2006rate	Cisco Systems	Intel Xeon Gold 6148	40	2	20	2400	80	2040	1940	Sep-2017	6453
51	CINT2006rate	Cisco Systems	Intel Xeon Gold 6154	36	2	18	3000	72	2180	2080	Sep-2017	6453
52	CINT2006rate	Cisco Systems	Intel Xeon Gold 5115	20	2	10	2400	40	1050	998	Sep-2017	6453
53	CINT2006rate	Cisco Systems	Intel Xeon Gold 5118	24	2	12	2300	48	1190	1120	Aug-2017	6422
54	CINT2006rate	Cisco Systems	Intel Xeon Gold 5120	28	2	14	2200	56	1340	1260	Sep-2017	6453
55	CINT2006rate	Cisco Systems	Intel Xeon Gold 5120	28	2	14	2200	56	1330	1260	Sep-2017	6453
56	CINT2006rate	Cisco Systems	Intel Xeon Gold 5122	8	2	4	3600	16	584	549	Sep-2017	6453
57	CINT2006rate	Cisco Systems	Intel Xeon Gold 6126	24	2	12	2600	48	1430	1350	Sep-2017	6453
58	CINT2006rate	Cisco Systems	Intel Xeon Gold 6128	12	2	6	3400	24	869	818	Sep-2017	6453
59	CINT2006rate	Cisco Systems	Intel Xeon Gold 6130	32	2	16	2100	64	1620	1540	Aug-2017	6422
60	CINT2006rate	Cisco Systems	Intel Xeon Gold 6132	28	2	14	2600	56	1620	1530	Sep-2017	6453
61	CINT2006rate	Cisco Systems	Intel Xeon Gold 6134	16	2	8	3200	32	1120	1060	Sep-2017	6453
62	CINT2006rate	Cisco Systems	Intel Xeon Gold 6134M	16	2	8	3200	32	1120	1060	Oct-2017	6483
63	CINT2006rate	Cisco Systems	Intel Xeon Gold 6136	24	2	12	3000	48	1580	1490	Sep-2017	6453
64	CINT2006rate	Cisco Systems	Intel Xeon Gold 6138	40	2	20	2000	80	1920	1820	Sep-2017	6453
65	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140	36	2	18	2300	72	1900	1800	Sep-2017	6453
66	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140	36	2	18	2300	72	1900	1800	Aug-2017	6422
67	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140M	36	2	18	2300	72	1890	1800	Aug-2017	6422
68	CINT2006rate	Cisco Systems	Intel Xeon Gold 6142	32	2	16	2600	64	1830	1730	Aug-2017	6422
69	CINT2006rate	Cisco Systems	Intel Xeon Gold 6142M	32	2	16	2600	64	1840	1740	Oct-2017	6483
70	CINT2006rate	Cisco Systems	Intel Xeon Gold 6144	16	2	8	3500	32	1180	1110	Sep-2017	6453
71	CINT2006rate	Cisco Systems	Intel Xeon Gold 6148	40	2	20	2400	80	2080	1980	Sep-2017	6453
72	CINT2006rate	Cisco Systems	Intel Xeon Gold 6150	36	2	18	2700	72	2070	1970	Sep-2017	6453
73	CINT2006rate	Cisco Systems	Intel Xeon Gold 6152	44	2	22	2100	88	2120	2020	Sep-2017	6453
74	CINT2006rate	Cisco Systems	Intel Xeon Gold 6154	36	2	18	3000	72	2200	2100	Sep-2017	6453
75	CINT2006rate	Cisco Systems	Intel Xeon Gold 5115	40	4	10	2400	80	2010	1900	Oct-2017	6483
76	CINT2006rate	Cisco Systems	Intel Xeon Gold 5118	48	4	12	2300	96	2380	2240	Sep-2017	6453
77	CINT2006rate	Cisco Systems	Intel Xeon Gold 5120	56	4	14	2200	112	2670	2510	Sep-2017	6453
78	CINT2006rate	Cisco Systems	Intel Xeon Gold 5122	16	4	4	3600	32	1170	1100	Sep-2017	6453
79	CINT2006rate	Cisco Systems	Intel Xeon Gold 6126	48	4	12	2600	96	2760	2610	Sep-2017	6453
80	CINT2006rate	Cisco Systems	Intel Xeon Gold 6128	24	4	6	3400	48	1730	1630	Sep-2017	6453
81	CINT2006rate	Cisco Systems	Intel Xeon Gold 6130	64	4	16	2100	128	3200	3040	Sep-2017	6453
82	CINT2006rate	Cisco Systems	Intel Xeon Gold 6132	56	4	14	2600	112	3200	3040	Sep-2017	6453
83	CINT2006rate	Cisco Systems	Intel Xeon Gold 6134	32	4	8	3200	64	2240	2110	Sep-2017	6453
84	CINT2006rate	Cisco Systems	Intel Xeon Gold 6134M	32	4	8	3200	64	2230	2110	Oct-2017	6483
85	CINT2006rate	Cisco Systems	Intel Xeon Gold 6136	48	4	12	3000	96	3050	2880	Sep-2017	6453
86	CINT2006rate	Cisco Systems	Intel Xeon Gold 6138	80	4	20	2000	160	3650	3460	Aug-2017	6422
87	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140	72	4	18	2300	144	3720	3530	Aug-2017	6422
88	CINT2006rate	Cisco Systems	Intel Xeon Gold 6140M	72	4	18	2300	144	3680	3500	Oct-2017	6483
89	CINT2006rate	Cisco Systems	Intel Xeon Gold 6142	64	4	16	2600	128	3540	3360	Sep-2017	6453
90	CINT2006rate	Cisco Systems	Intel Xeon Gold 6142M	64	4	16	2600	128	3560	3380	Oct-2017	6483
91	CINT2006rate	Cisco Systems	Intel Xeon Gold 6144	32	4	8	3500	64	2330	2200	Sep-2017	6453
92	CINT2006rate	Cisco Systems	Intel Xeon Gold 6146	48	4	12	3200	96	3140	2980	Sep-2017	6453
93	CINT2006rate	Cisco Systems	Intel Xeon Gold 6148	80	4	20	2400	160	4020	3820	Sep-2017	6453
94	CINT2006rate	Cisco Systems	Intel Xeon Gold 6150	72	4	18	2700	144	3950	3770	Sep-2017	6453
95	CINT2006rate	Cisco Systems	Intel Xeon Gold 6152	88	4	22	2100	176	4110	3920	Sep-2017	6453
96	CINT2006rate	Cisco Systems	Intel Xeon Gold 6154	72	4	18	3000	144	4240	4060	Sep-2017	6453
97	CINT2006rate	Dell Inc.	Intel Xeon Gold 5115	20	2	10	2400	40	998	955	Aug-2017	6422
98	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	1200	1140	Aug-2017	6422
99	CINT2006rate	Dell Inc.	Intel Xeon Gold 5118	24	2	12	2300	48	1200	1140	Aug-2017	6422
100	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	1310	1250	Aug-2017	6422
101	CINT2006rate	Dell Inc.	Intel Xeon Gold 5120	28	2	14	2200	56	1310	1250	Aug-2017	6422
102	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	506	481	Aug-2017	6422
103	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	516	490	Aug-2017	6422
104	CINT2006rate	Dell Inc.	Intel Xeon Gold 5122	8	2	4	3600	16	580	544	Jul-2017	6391
