	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published	days
0	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8153	32	2	16	2000	64	1420	1340	Sep-2017	6422
1	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8156	8	2	4	3600	16	610	574	Oct-2017	6453
2	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8160	48	2	24	2100	96	2260	2160	Sep-2017	6422
3	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8164	52	2	26	2000	104	2300	2200	Sep-2017	6422
4	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8168	48	2	24	2700	96	2560	2450	Sep-2017	6422
5	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8170	52	2	26	2100	104	2410	2300	Sep-2017	6422
6	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8176	56	2	28	2100	112	2510	2410	Sep-2017	6422
7	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8180	56	2	28	2500	112	2770	2660	Sep-2017	6422
8	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8153	32	2	16	2000	64	1420	1340	Sep-2017	6422
9	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8156	8	2	4	3600	16	585	549	Sep-2017	6422
10	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8158	24	2	12	3000	48	1580	1490	Sep-2017	6422
11	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8160	48	2	24	2100	96	2320	2220	Sep-2017	6422
12	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8164	52	2	26	2000	104	2380	2270	Sep-2017	6422
13	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8168	48	2	24	2700	96	2630	2530	Sep-2017	6422
14	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8168	48	2	24	2700	96	2630	2530	Aug-2017	6391
15	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8170	52	2	26	2100	104	2430	2330	Aug-2017	6391
16	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8176	56	2	28	2100	112	2520	2420	Sep-2017	6422
17	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8180	56	2	28	2500	112	2800	2690	Sep-2017	6422
18	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8153	32	2	16	2000	64	1420	1330	Sep-2017	6422
19	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8156	8	2	4	3600	16	584	552	Sep-2017	6422
20	CINT2006rate	Cisco Systems	Intel Xeon Platinum 8158	24	2	12	3000	48	1580	1500	Sep-2017	6422
