	benchmark	hardware_vendor	system	#_cores	#_chips	#_cores_per_chip	processor_mhz	base_copies	result	baseline	published
0	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8153, 2.00GHz)	32	2	16	2000	64	1420	1340	Sep-2017
1	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8156, 3.60GHz)	8	2	4	3600	16	610	574	Oct-2017
2	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8160, 2.10GHz)	48	2	24	2100	96	2260	2160	Sep-2017
3	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8164, 2.00 GHz)	52	2	26	2000	104	2300	2200	Sep-2017
4	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8168, 2.70GHz)	48	2	24	2700	96	2560	2450	Sep-2017
5	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8170, 2.10 GHz)	52	2	26	2100	104	2410	2300	Sep-2017
6	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8176, 2.10GHz)	56	2	28	2100	112	2510	2410	Sep-2017
7	CINT2006rate	Cisco Systems	Cisco UCS B200 M5 (Intel Xeon Platinum 8180, 2.50 GHz)	56	2	28	2500	112	2770	2660	Sep-2017
8	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8153, 2.00GHz)	32	2	16	2000	64	1420	1340	Sep-2017
9	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8156, 3.60GHz)	8	2	4	3600	16	585	549	Sep-2017
10	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8158, 3.00GHz)	24	2	12	3000	48	1580	1490	Sep-2017
11	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8160, 2.10GHz)	48	2	24	2100	96	2320	2220	Sep-2017
12	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8164, 2.00GHz)	52	2	26	2000	104	2380	2270	Sep-2017
13	CINT2006rate	Cisco Systems	Cisco UCS C220 M5 (Intel Xeon Platinum 8168, 2.70 GHz)	48	2	24	2700	96	2630	2530	Sep-2017
